League, Season, Page

ENG 1,  1992/93, 1992–93_FA_Premier_League
ENG 1   1993/94, 1993–94_FA_Premier_League
ENG 1   1994/95, 1994–95_FA_Premier_League
ENG 1,  1995/96, 1995–96_FA_Premier_League
ENG 1,  1996/97, 1996–97_FA_Premier_League
ENG 1,  1997/98, 1997–98_FA_Premier_League
ENG 1,  1998/99, 1998–99_FA_Premier_League
ENG 1,  1999/00, 1999–2000_FA_Premier_League
ENG 1,  2000/01, 2000–01_FA_Premier_League
ENG 1,  2001/02, 2001–02_FA_Premier_League
ENG 1,  2002/03, 2002–03_FA_Premier_League
ENG 1,  2003/04, 2003–04_FA_Premier_League
ENG 1,  2004/05, 2004–05_FA_Premier_League
ENG 1,  2005/06, 2005–06_FA_Premier_League
ENG 1,  2006/07, 2006–07_FA_Premier_League
ENG 1,  2007/08, 2007–08_Premier_League
ENG 1,  2008/09, 2008–09_Premier_League
ENG 1,  2009/10, 2009–10_Premier_League
ENG 1,  2010/11, 2010–11_Premier_League
ENG 1,  2011/12, 2011–12_Premier_League
ENG 1,  2012/13, 2012–13_Premier_League
ENG 1,  2013/14, 2013–14_Premier_League
ENG 1,  2014/15, 2014–15_Premier_League
ENG 1,  2015/16, 2015–16_Premier_League
